nmi,kernel,format,dims,minPts,eps,delta,lambda,kappa
0.09178027554575434,wl3,matrix,75,2,0.25,5,75,1000
0.002161622870827924,wl2,vector,25,10,2,20,50,10
0.049352464236463514,wl5,vector,75,5,0.25,20,75,1000
0.012718191642545373,graphlet,matrix,25,25,0.75,5,75,100
0.04800010276828033,wl2,vector,75,7,2,0.1,75,100
0.02602303447398407,wl2,matrix,50,2,2,0.1,50,10
0.055427156943902454,wl1,vector,50,25,5,5,75,100
0.029885272593187576,shortestpath,vector,25,10,0.75,5,75,1000
0.07745139647346488,wl1,vector,75,2,2,0.25,75,10
0.09178027554575434,wl4,vector,50,2,0.75,0.25,50,1000
0.09178027554575434,wl2,vector,50,2,0.25,1,50,1000
0.020073633732762046,wl5,vector,50,10,0.25,0.1,50,1000
0.019385123190174568,wl4,matrix,25,10,2,1,75,10
0.00021682505492784564,wl1,vector,25,25,0.25,0.5,50,100
0.07367846789221108,wl4,vector,25,5,2,1,30,100
0.00021682505492784564,wl2,vector,75,25,0.75,5,75,1000
0.09587747278473868,wl4,vector,75,2,0.75,20,75,10
0.04868174951548795,wl5,matrix,25,5,0.75,0.1,50,100
0.00021682505492784564,wl3,vector,25,25,0.25,0.25,50,10
0.049352464236463514,wl5,matrix,25,5,0.75,0.1,50,1000
0.0011002207160512375,wl4,matrix,25,15,0.75,20,30,1000
0.020073633732762046,wl2,matrix,25,10,0.25,1,75,100
0.06324246898688415,wl3,vector,75,7,0.75,0.1,75,10
0.0011002207160512375,wl2,matrix,25,15,0.75,1,75,100
0.012197055831087109,wl3,matrix,50,15,5,0.5,75,100
0.0931335660033213,wl2,matrix,25,2,0.75,0.25,75,10
0.007004881564273872,wl5,vector,25,15,5,0.1,30,1000
0.049352464236463514,wl3,matrix,50,5,0.75,1,50,1000
0.04271281448748107,wl5,matrix,75,7,5,0.5,75,100
0.0931335660033213,wl2,matrix,25,2,0.75,5,50,10
0.053974654442999016,wl3,vector,25,15,0.75,0.25,75,10
0.02947392498941057,shortestpath,matrix,25,5,0.75,20,75,1000
0.09273170683408885,wl4,vector,25,2,2,0.25,30,1000
0.0011002207160512375,wl2,matrix,25,15,2,1,30,1000
0.024930390662100597,shortestpath,vector,50,25,0.75,0.5,50,1000
0.09274778369001353,wl3,vector,50,2,0.75,1,50,10
0.09236437481244254,wl1,vector,50,7,2,0.25,75,10
