nmi,kernel,format,dims,minPts,eps,delta,lambda,kappa
0.10536236278414145,wl1,vector,50,2,0.25,1,75,10
0.020830857906415683,wl3,vector,75,25,2,20,75,1000
0.08238172173812605,wl1,vector,50,5,0.75,0.1,75,100
0.06648617788374389,shortestpath,matrix,25,2,0.75,1,50,1000
0.04577537340069583,wl4,vector,75,15,0.25,0.25,75,100
0.0917092139399673,wl3,matrix,50,5,5,20,75,100
0.12809097061780955,wl1,vector,75,2,5,20,75,100
0.06591551127818306,wl2,matrix,75,10,0.75,1,75,1000
0.04577537340069583,wl3,vector,25,15,0.25,0.25,50,100
0.012681048094255895,graphlet,matrix,25,2,0.25,0.1,30,100
0.06591551127818306,wl1,matrix,25,10,0.75,0.1,50,1000
0.08753646307473581,wl1,vector,25,5,0.75,20,75,10
0.08238172173812605,wl3,matrix,25,5,0.75,0.25,50,100
0.020830857906415683,wl5,vector,50,25,0.75,0.25,50,1000
0.08238172173812605,wl4,matrix,25,5,2,0.25,30,1000
0.020830857906415683,wl5,vector,75,25,2,0.5,75,1000
0.08923293843439686,wl5,vector,75,2,2,5,75,10
0.10570368250674367,wl3,matrix,25,2,0.25,20,50,100
0.08359724069387921,wl2,matrix,25,5,5,1,30,1000
0.09004643157145288,wl2,vector,50,5,5,0.25,50,100
0.06202279392125061,shortestpath,matrix,25,10,0.25,1,30,100
0.08072790567747767,wl2,vector,25,7,0.25,0.5,30,1000
0.06591551127818306,wl1,vector,25,10,0.25,5,75,1000
0.09016145953033783,wl5,vector,75,2,2,1,75,10
0.10609587854616573,wl3,vector,50,2,2,0.5,50,1000
0.04577537340069583,wl5,vector,50,15,2,0.25,75,1000
0.08102401018953899,wl4,matrix,75,7,2,0.25,75,100
0.10536236278414146,wl4,vector,25,2,0.75,1,30,1000
0.020830857906415683,wl3,matrix,25,25,0.75,1,50,100
0.0300693163033538,graphlet,vector,25,2,0.25,0.5,30,1000
0.10536236278414145,wl1,vector,25,2,0.25,0.1,50,10
0.0815384408827407,wl4,matrix,25,5,0.25,20,75,10
0.0188422919390738,wl1,vector,50,25,0.75,0.1,50,10
0.08238172173812605,wl5,matrix,75,5,0.75,0.1,75,100
0.08238172173812605,wl4,vector,50,5,0.75,20,50,100
0.08072790567747767,wl1,vector,25,7,0.75,0.25,30,1000
0.08238172173812605,wl3,vector,25,5,2,5,30,1000
0.08238172173812605,wl5,matrix,50,5,0.25,0.25,50,10
0.058062874014706035,shortestpath,matrix,25,5,0.25,5,30,1000
0.06364564101905154,wl5,vector,50,10,5,5,50,1000
0.07893909444307914,wl4,matrix,75,7,0.75,0.25,75,10
0.08340641541448553,wl2,vector,25,7,2,0.25,50,100
0.028737624495726206,wl3,vector,25,2,2,5,50,10
0.02234444343853914,graphlet,matrix,25,10,0.25,0.1,30,1000
0.10217984641729311,wl1,matrix,75,15,2,0.5,75,10
0.08238172173812605,wl3,matrix,50,5,0.75,0.5,50,1000
0.012681048094255895,graphlet,vector,25,2,0.75,5,50,1000
0.10570368250674367,wl2,vector,75,2,2,0.25,75,1000
0.0917092139399673,wl3,matrix,50,5,5,5,75,100
0.018106803569194564,graphlet,matrix,25,25,0.25,0.5,30,100
0.10570368250674367,wl4,vector,75,2,0.25,0.5,75,1000
0.020830857906415683,wl3,matrix,50,25,0.25,20,75,1000
0.08072790567747767,wl5,vector,25,7,0.25,0.5,30,1000
0.06591551127818306,wl4,matrix,25,10,0.25,0.1,30,1000
0.058062874014706035,shortestpath,vector,25,5,0.25,0.5,75,1000
0.020830857906415683,wl3,matrix,25,25,0.25,5,50,1000
0.08072790567747767,wl2,vector,50,7,0.25,5,50,1000
0.08072790567747767,wl1,matrix,25,7,0.25,5,50,100
0.04577537340069583,wl3,matrix,75,15,0.75,0.25,75,100
0.019436355274381194,wl4,vector,25,25,2,0.5,75,100
0.04577537340069583,wl4,matrix,25,15,0.25,0.1,50,1000
0.08359724069387921,wl2,matrix,25,5,5,5,30,1000
0.10591882028793502,wl5,matrix,25,2,5,0.1,50,1000
0.061728700310440865,shortestpath,vector,50,7,0.25,5,75,100
0.10570368250674367,wl1,vector,25,2,0.25,20,50,100
0.06926869313675707,wl4,matrix,50,10,2,20,75,100
0.10168395031267669,wl4,vector,25,2,5,1,50,1000
0.08072790567747767,wl3,matrix,25,7,0.25,0.1,30,1000
0.09810852116984405,wl5,vector,25,5,2,0.1,75,100
0.06648617788374389,shortestpath,vector,25,2,0.75,20,30,1000
0.11901759849522206,wl1,vector,50,2,5,0.25,75,100
0.08072790567747767,wl4,vector,25,7,0.25,1,50,1000
0.07968824162374333,wl3,vector,50,5,2,0.25,50,100
0.06591551127818306,wl3,vector,50,10,0.75,5,75,100
0.06535071128602062,shortestpath,matrix,25,5,0.75,1,50,1000
0.020830857906415683,wl5,matrix,75,25,0.25,20,75,1000
0.04577537340069583,wl1,vector,50,15,0.75,0.25,50,1000
0.020830857906415683,wl5,matrix,25,25,0.75,20,75,1000
0.020830857906415683,wl5,vector,25,25,0.25,0.1,30,1000
0.08565235935005337,wl2,vector,50,2,5,5,75,100
0.06591551127818306,wl3,matrix,50,10,0.75,0.25,75,100
0.02490426601013145,wl1,vector,75,25,5,0.1,75,1000
0.06591551127818306,wl1,vector,75,10,0.25,0.5,75,10
0.07990785663036135,wl5,matrix,50,5,5,20,75,100
0.04577537340069583,wl2,vector,50,15,0.25,1,50,10
0.05235237770363071,shortestpath,matrix,25,25,0.25,0.25,50,100
0.08072790567747767,wl5,vector,50,7,2,5,75,1000
0.08225523171384973,wl4,matrix,50,2,5,0.25,50,100
0.06591551127818306,wl2,matrix,25,10,0.25,0.1,30,1000
0.08354014063190034,wl4,matrix,50,5,5,1,50,1000
0.018027166960526846,graphlet,vector,25,25,0.25,1,75,1000
0.08022033859978363,wl2,matrix,50,5,0.75,5,75,10
0.08750616995769665,wl2,matrix,50,2,5,0.5,50,100
0.02221437886778433,graphlet,vector,50,7,0.25,0.1,75,1000
0.07285292114601585,wl3,matrix,75,5,2,0.25,75,10
0.04577537340069583,wl1,vector,25,15,0.75,0.5,50,100
0.07553159967882138,wl2,vector,50,10,2,0.25,75,10
0.10536236278414146,wl5,vector,50,2,0.25,0.1,50,100
0.06596985507413322,wl5,vector,75,10,2,0.1,75,100
0.10570368250674367,wl3,vector,25,2,0.25,0.5,75,1000
0.08238172173812605,wl3,matrix,25,5,0.25,5,50,10
0.001978869673592188,graphlet,vector,25,7,0.75,0.1,75,1000
0.06591551127818306,wl5,vector,25,10,0.75,0.25,75,100
0.08169663093860617,wl5,matrix,50,5,5,5,50,1000
0.08072790567747767,wl1,matrix,25,7,0.75,0.1,50,100
0.10825733373943974,wl4,matrix,50,2,0.25,1,75,10
0.08238172173812605,wl5,matrix,75,5,2,1,75,1000
0.05232252461574254,shortestpath,matrix,25,25,0.75,1,30,1000
0.0711550383596759,wl5,matrix,25,10,2,20,30,100
0.02221437886778433,graphlet,matrix,25,7,0.25,1,50,1000
0.04577537340069583,wl5,vector,75,15,0.25,0.1,75,1000
0.06591551127818306,wl2,vector,50,10,0.25,0.5,50,1000
0.05621793356953671,wl3,vector,25,15,2,0.1,30,100
0.06516387081736598,wl2,vector,25,10,0.75,0.25,75,10
0.08072790567747767,wl5,vector,75,7,2,1,75,1000
0.06824494951432279,shortestpath,matrix,25,2,0.25,0.5,75,1000
0.08238172173812605,wl5,vector,25,5,2,20,50,1000
0.06591551127818306,wl1,matrix,25,10,0.75,0.25,75,1000
0.08072790567747767,wl5,matrix,25,7,0.25,0.5,30,1000
0.10570368250674367,wl3,vector,25,2,0.25,5,75,1000
0.06839050378496488,wl3,matrix,50,10,5,0.5,50,100
0.08072790567747767,wl2,vector,25,7,0.75,0.1,75,1000
0.06226300668418364,wl5,matrix,25,10,2,0.5,30,10
0.10536236278414146,wl5,vector,25,2,0.25,0.5,30,100
0.07193583534394338,wl5,vector,25,5,5,0.5,50,100
0.08072790567747767,wl1,vector,50,7,0.25,1,50,1000
0.10078438576890321,wl1,vector,75,2,0.75,20,75,10
0.10570368250674367,wl1,vector,25,2,0.75,5,50,1000
0.020830857906415683,wl2,vector,50,25,0.75,5,75,100
0.04577537340069583,wl4,matrix,50,15,0.25,5,75,1000
0.08238172173812605,wl4,matrix,75,5,0.75,0.5,75,100
0.008268853445585422,graphlet,matrix,50,10,0.25,5,50,100
0.08238172173812605,wl3,matrix,50,5,0.75,1,75,1000
0.037215865261324255,wl5,matrix,25,15,5,20,50,1000
0.06535071128602062,shortestpath,vector,25,5,0.75,20,75,1000
0.08390293199959888,wl2,vector,25,5,0.75,0.1,30,10
